	COND	CONDIRR	DN	DNN	IMP	IN	IRR	MODAL	QUEST	RESTR	all_occ	all_other	lemma	nonver	pos
28	149	152	3824	0	75	0	4	783	83	200	11808	6538	знать	5270	VERB
29	11	12	469	0	12	0	1	126	5	77	1529	816	уметь	713	VERB
30	770	1327	8559	0	165	1	7	1370	428	1216	32230	18387	мочь	13843	VERB
31	1	0	104	0	0	0	0	0	0	0	2807	2702	единственный	105	ADJ
32	28	19	224	0	6	0	0	143	17	39	1811	1335	относиться	476	VERB
33	21	15	667	0	0	0	1	0	0	0	25226	24522	один	704	NUM
34	0	0	0	0	0	0	0	22	2	2	150	124	выделить	26	VERB
35	85	89	439	1	88	0	3	552	36	127	7764	6344	писать	1420	VERB
36	27	20	172	0	1	0	0	43	14	22	820	521	означать	299	VERB
37	28	15	4329	0	38	0	4	72	0	1	28365	23878	только	4487	PART
38	9	3	44	0	2	0	0	61	0	8	577	450	применять	127	VERB
39	3	4	12	0	0	0	0	16	0	3	115	77	обратить	38	VERB
40	26	14	214	5	10	0	0	114	6	43	1711	1279	терять	432	VERB
41	0	0	5	0	0	0	0	20	0	0	134	109	приобрести	25	VERB
42	3	0	3	0	0	0	0	7	4	6	201	178	формироваться	23	VERB
43	0	0	0	0	0	0	0	14	0	0	32	18	проследить	14	VERB
44	27	35	1306	17	557	0	1	4436	300	247	71435	64509	они	6926	PRON
45	5	0	56	0	0	0	0	18	0	14	244	151	распространяться	93	VERB
46	19	1139	354	0	192	0	0	1876	497	149	64361	60135	как	4226	ADV
47	0	0	0	0	1	0	0	30	4	0	528	493	постепенно	35	ADV
48	0	0	2	0	0	0	0	0	0	0	87	85	словарь	2	NOUN
49	10	4	69	0	4	0	2	100	30	6	617	392	найти	225	VERB
50	14	11	135	0	6	0	0	102	2	50	1879	1559	касаться	320	VERB
51	85	177	1074	4	641	0	1	4011	1151	73	134109	126892	что	7217	PRON
52	19	19	592	0	10	0	0	240	19	69	2200	1232	слышать	968	VERB
53	32	40	992	24	510	0	2	4226	390	216	80975	74543	он	6432	PRON
54	320	151	1804	4	212	0	2	1203	67	388	19385	15234	говорить	4151	VERB
55	11	5	89	0	2	0	0	67	12	18	684	480	обладать	204	VERB
56	0	0	1	0	0	0	0	0	0	0	94	93	энциклопедия	1	NOUN
57	6	6	298	4	59	0	0	559	60	2	8395	7401	вообще	994	ADV
58	182	290	856	11	84	0	4	1956	102	145	12593	8963	сказать	3630	VERB
59	0	0	34	0	0	0	0	31	18	10	662	569	связать	93	VERB
60	0	0	8	0	0	0	0	13	2	0	349	326	напрямую	23	ADV
61	2	3	129	0	4	0	0	38	4	11	568	377	упоминать	191	VERB
62	46	34	506	1	30	0	2	418	19	62	3640	2522	отвечать	1118	VERB
63	4	0	22	0	0	0	0	34	11	7	300	222	достичь	78	VERB
64	0	0	2	0	0	0	0	5	0	0	150	143	последовательно	7	ADV
65	12	4	389	7	142	0	0	3873	208	13	47654	43006	который	4648	PRON
66	11	12	65	0	1	0	0	167	21	20	1274	977	получить	297	VERB
67	3	0	39	0	46	0	0	284	58	1	5030	4599	например	431	ADV
68	0	2	2	0	2	0	0	7	0	1	102	88	записать	14	VERB
69	0	0	0	0	0	0	0	3	0	0	26	23	изобразить	3	VERB
70	1	0	13	0	0	0	0	0	0	0	152	138	зависимый	14	ADJ
71	28	2172	13	0	0	0	0	36	0	0	7099	4850	хотя	2249	PART
72	32	26	436	0	11	0	1	174	42	110	2603	1771	существовать	832	VERB
73	17	9	239	0	3	0	0	37	2	3	694	384	исключать	310	VERB
74	0	0	1	0	0	0	0	24	0	0	174	149	условно	25	ADV
75	149	32	788	0	33	0	3	528	75	101	8144	6435	считать	1709	VERB
76	1	0	49	0	16	0	0	230	14	0	4096	3786	однако	310	ADV
77	14	13	55	0	8	0	0	88	17	34	1081	852	вернуться	229	VERB
78	6	0	24	0	0	0	0	0	0	0	68313	68283	за	30	ADP
79	19	19	101	0	27	0	4	212	10	55	2890	2443	действовать	447	VERB
80	6	1	19	2	0	0	0	22	4	3	206	149	совершить	57	VERB
81	0	0	1	0	1	0	0	0	0	0	39	37	покорить	2	VERB
82	2	0	5	0	0	0	0	3	2	3	79	64	преодолеть	15	VERB
83	7	2	23	0	0	0	0	4	2	0	77	39	пустить	38	VERB
84	80	69	684	0	46	0	4	564	13	167	7047	5420	принимать	1627	VERB
85	6	2	8	0	6	0	0	52	6	6	333	247	представить	86	VERB
86	41	56	200	0	19	0	3	337	10	74	4727	3987	проводить	740	VERB
87	0	0	7	0	0	0	0	3	0	0	27	17	удержать	10	VERB
88	12	6	7	0	0	0	0	0	0	0	507	482	крутой	25	ADJ
89	8	10	235	0	95	0	0	756	137	17	9618	8360	где	1258	ADV
90	6	1	100	0	0	0	0	56	0	12	540	365	превышать	175	VERB
91	7	5	38	0	3	0	0	20	2	3	381	303	сталкиваться	78	VERB
92	0	0	1	0	0	0	0	7	1	0	34	25	отразить	9	VERB
93	0	4	677	0	2	0	0	78	26	4	2272	1481	менее	791	ADV
94	57	78	656	2	23	0	0	338	5	74	5285	4052	проходить	1233	VERB
95	10	3	91	0	0	0	0	0	0	0	3174	3070	путь	104	NOUN
96	2	0	1	0	0	0	0	2	0	0	18	13	классифицировать	5	VERB
97	0	0	3	0	0	0	0	26	0	0	83	54	разделить	29	VERB
98	8	20	92	0	2	0	0	40	0	11	1143	970	состояться	173	VERB
99	0	0	0	0	0	0	0	5	2	0	10	3	прировнять	7	VERB
100	0	1	93	0	2	0	0	289	17	2	2125	1721	вполне	404	ADV
101	10	7	46	0	0	0	0	43	10	8	649	525	пройти	124	VERB
102	5	5	119	0	5	0	2	54	0	22	1135	923	принадлежать	212	VERB
103	0	0	3	0	0	0	0	1	1	1	40	34	регламентировать	6	VERB
104	2	0	29	2	9	0	0	236	24	3	2540	2235	действительно	305	ADV
105	2	6	16	0	1	0	0	78	4	2	748	639	осуществлять	109	VERB
106	55	27	271	0	23	0	1	166	16	51	4044	3434	пытаться	610	VERB
107	59	55	252	0	28	0	0	376	28	62	3846	2986	ставить	860	VERB
108	11	7	46	0	2	0	0	76	9	8	581	422	понять	159	VERB
109	9	7	84	0	2	0	1	63	0	9	583	408	исполнять	175	VERB
110	13	49	67	2	134	0	0	592	65	209	7331	6200	тогда	1131	ADV
111	7	7	189	0	3	0	0	41	7	6	670	410	соответствовать	260	VERB
112	3	0	76	0	21	0	0	200	48	7	14355	14000	когда	355	ADV
113	30	43	178	0	25	0	4	362	15	77	5132	4398	создавать	734	VERB
114	0	0	0	0	0	0	0	11	2	0	267	254	впоследствии	13	ADV
115	0	0	0	0	0	0	0	3	0	0	4	1	кодифицировать	3	VERB
116	25	13	351	0	23	0	0	115	5	20	4479	3927	мало	552	NUM
117	6	3	3	0	0	0	0	1	0	6	213	194	возрастать	19	VERB
118	20	8	92	0	7	0	0	53	8	23	1202	991	падать	211	VERB
119	5	0	9	0	1	0	1	27	0	1	209	165	осуществляться	44	VERB
120	0	2	7	0	1	0	0	16	2	0	172	144	описать	28	VERB
121	1	0	0	0	0	0	0	16	2	2	172	151	выступить	21	VERB
122	1	0	0	0	0	0	0	24	0	9	663	629	заявить	34	VERB
123	4	0	79	5	223	0	0	499	49	34	6798	5905	теперь	893	ADV
124	2	0	0	0	0	0	0	2	0	0	9	5	претерпеть	4	VERB
125	2	0	1	0	0	0	0	5	2	0	56	46	отвергнуть	10	VERB
126	5	2	66	0	2	0	0	22	0	5	351	249	отказывать	102	VERB
127	2	5	26	0	4	0	0	41	4	5	327	240	признать	87	VERB
128	2	2	56	0	4	0	0	66	6	2	1134	996	наоборот	138	ADV
129	2	0	11	0	2	0	0	17	0	5	167	130	подтвердить	37	VERB
130	3	2	34	0	0	0	0	43	11	0	236	143	изменить	93	VERB
131	14	2	43	0	3	0	2	99	13	20	1204	1008	определять	196	VERB
132	0	0	9	0	0	0	0	23	2	2	389	353	отметить	36	VERB
133	27	27	175	0	9	0	0	116	0	18	975	603	соглашаться	372	VERB
134	1	1	9	0	0	0	2	21	8	11	365	312	свидетельствовать	53	VERB
135	0	0	5	0	0	0	0	5	2	0	68	56	исчерпать	12	VERB
136	2	1	4	0	0	0	0	5	2	11	146	121	нарастать	25	VERB
137	0	0	2	0	0	0	0	3	0	0	11	6	возвратить	5	VERB
138	0	0	2	0	0	0	0	0	0	0	14	12	тождественный	2	ADJ
139	141	88	2291	0	65	0	7	788	53	263	8737	5041	видеть	3696	VERB
140	0	0	1	0	0	0	0	0	0	0	90	89	массив	1	NOUN
141	0	0	1	0	0	0	0	3	0	0	21	17	возвести	4	VERB
142	17	5	102	0	16	0	0	162	13	15	1388	1058	искать	330	VERB
143	1	2	13	0	4	0	1	17	0	3	328	287	обнаружить	41	VERB
144	8	8	300	1	97	0	0	665	78	89	12089	10843	сейчас	1246	ADV
145	85	59	188	0	81	0	1	373	13	150	6144	5194	начинать	950	VERB
146	0	0	4	0	0	0	0	6	0	0	72	62	предъявить	10	VERB
147	16	8	44	0	0	0	1	39	25	6	486	347	произойти	139	VERB
148	18	0	111	1	105	0	0	676	14	19	6486	5542	поэтому	944	ADV
149	17	14	573	0	59	0	0	799	24	15	9326	7825	ничто	1501	PRON
150	0	0	3	0	0	0	0	4	0	0	51	44	скрыться	7	VERB
151	87	144	289	0	99	0	2	823	34	117	8180	6585	жить	1595	VERB
152	0	0	193	0	30	0	0	162	2	10	5844	5447	пока	397	ADV
153	2	3	9	0	2	0	0	31	16	4	196	129	объяснить	67	VERB
154	0	0	15	0	0	0	0	14	0	0	32	3	сравниться	29	VERB
155	0	0	1	0	0	0	0	0	0	0	31	30	цунами	1	NOUN
156	24	11	22	0	26	0	0	197	8	11	2396	2097	продолжать	299	VERB
157	26	52	1064	3	320	0	1	1757	103	119	41672	38227	все	3445	PRON
158	11	26	33	0	3	0	1	49	3	9	883	748	молчать	135	VERB
159	11	10	78	1	8	0	5	143	0	31	1220	933	доказывать	287	VERB
160	0	0	2	0	0	0	0	0	0	0	328	326	океан	2	NOUN
161	13	3	52	0	2	0	0	15	0	4	468	379	исчезать	89	VERB
162	43	28	440	0	28	0	3	403	7	28	2703	1723	находить	980	VERB
163	2	1	11	0	9	0	0	15	1	0	357	318	серьезно	39	ADV
164	9	32	102	0	7	0	0	88	29	18	918	633	дать	285	VERB
165	6	5	1	0	2	0	0	17	0	0	114	83	снизить	31	VERB
166	1	0	0	0	1	0	0	3	0	2	38	31	зарождаться	7	VERB
167	0	0	1	0	0	0	0	0	0	0	58	57	автоматизация	1	NOUN
168	10	1	119	0	1	0	1	33	2	6	1205	1032	планировать	173	VERB
169	0	0	5	0	0	0	0	0	0	0	48	43	парадоксальный	5	ADJ
170	0	2	0	0	0	0	0	1	0	1	46	42	насчитываться	4	VERB
171	0	0	1	0	0	0	0	4	0	0	41	36	охватить	5	VERB
172	13	14	46	0	2	0	0	44	19	24	680	518	остаться	162	VERB
173	0	2	9	0	0	0	1	22	2	2	195	157	провоцировать	38	VERB
174	9	16	103	0	3	0	0	59	4	10	503	299	задумываться	204	VERB
175	1	2	110	0	10	0	1	64	4	3	1597	1402	сильно	195	ADV
176	2	0	3	0	0	0	0	11	0	0	244	228	разработать	16	VERB
177	209	49	2168	0	0	0	3	0	0	0	13383	10954	нужный	2429	ADJ
178	63	12	276	0	0	0	2	0	0	0	2980	2627	готовый	353	ADJ
179	35	29	295	0	22	0	1	484	6	27	2228	1329	менять	899	VERB
180	4	2	1	0	0	0	0	7	0	0	112	98	предоставить	14	VERB
181	0	0	8	0	1	0	0	6	0	0	73	58	довести	15	VERB
182	2	6	8	0	0	0	0	13	11	2	347	305	предложить	42	VERB
183	19	11	13	0	8	0	0	49	19	13	879	747	начать	132	VERB
184	2	2	72	0	0	0	0	0	0	0	634	558	обязательный	76	ADJ
185	33	10	141	0	10	0	3	430	14	44	3251	2566	использовать	685	VERB
186	20	10	61	0	11	0	1	169	2	19	1696	1403	обращаться	293	VERB
187	15	16	143	0	17	0	2	235	4	24	2078	1622	покупать	456	VERB
188	0	0	1	0	0	0	0	1	0	0	12	10	лицензировать	2	VERB
189	2	8	31	2	0	0	0	53	23	2	342	221	помочь	121	VERB
190	21	9	837	1	32	0	1	349	34	31	10418	9103	более	1315	ADV
191	3	7	6	0	2	0	0	25	8	6	263	206	занять	57	VERB
192	0	0	18	0	40	0	0	250	0	0	7077	6769	также	308	ADV
193	5	3	81	0	5	0	0	48	2	10	805	651	производить	154	VERB
194	0	3	2	0	1	0	0	9	0	1	195	179	внедрять	16	VERB
195	0	0	1	0	0	0	0	1	0	0	34	32	наследовать	2	VERB
196	13	15	90	0	2	0	0	78	2	9	672	463	поверить	209	VERB
197	30	27	928	6	816	0	0	4084	262	148	67631	61330	я	6301	PRON
198	5	3	69	0	8	0	0	55	0	9	539	390	спать	149	VERB
199	3	19	21	0	3	0	0	100	6	2	479	325	назвать	154	VERB
200	8	5	36	0	18	0	0	100	16	11	1422	1228	учиться	194	VERB
201	39	26	189	0	20	0	2	210	20	45	3067	2516	вести	551	VERB
202	6	4	157	0	394	0	0	952	74	160	16808	15061	себя	1747	PRON
203	2	0	16	0	0	0	0	10	0	0	89	61	оправдать	28	VERB
204	0	0	1	0	0	0	0	0	0	0	305	304	физика	1	NOUN
205	0	0	0	0	0	0	0	7	0	0	50	43	иллюстрировать	7	VERB
206	372	383	87	2	49	0	4	391	123	353	12303	10539	можно	1764	ADV
207	0	1	3	0	0	0	0	3	0	1	39	31	завести	8	VERB
208	3	0	5	0	0	0	0	3	4	0	216	201	предполагаться	15	VERB
209	2	2	5	0	0	0	0	40	0	4	327	274	составить	53	VERB
210	0	0	159	0	1	0	0	11	1	2	454	280	случайно	174	ADV
211	8	1	7	0	1	0	0	44	0	4	221	156	формулировать	65	VERB
212	0	0	2	0	0	0	0	1	0	0	1186	1183	размер	3	NOUN
213	16	16	195	0	19	0	0	127	2	54	1477	1048	оставлять	429	VERB
214	2	2	16	0	0	0	0	15	6	4	156	111	сказываться	45	VERB
215	0	6	11	0	18	0	0	105	8	3	1723	1572	быстро	151	ADV
216	2	0	8	0	1	0	0	25	4	0	101	61	восстановить	40	VERB
217	7	9	83	0	2	0	0	82	2	10	594	399	останавливать	195	VERB
218	0	1	9	0	1	0	0	107	14	1	744	611	легко	133	ADV
219	6	10	24	0	9	0	1	146	2	14	1296	1084	управлять	212	VERB
220	0	3	22	0	0	0	0	7	0	3	123	88	отражаться	35	VERB
221	9	5	64	0	4	0	0	153	10	11	952	696	служить	256	VERB
222	5	10	12	0	0	0	0	17	3	0	206	159	устроить	47	VERB
223	0	0	3	0	0	0	0	7	0	1	63	52	истреблять	11	VERB
224	3	0	43	0	0	0	0	41	3	2	236	144	претендовать	92	VERB
225	2	0	53	0	0	0	0	6	0	0	119	58	исключить	61	VERB
226	18	16	112	0	5	0	0	49	2	16	830	612	подходить	218	VERB
227	6	1	22	0	6	0	0	22	6	8	499	428	описывать	71	VERB
228	9	5	65	0	0	0	0	0	0	0	7468	7389	государство	79	NOUN
229	225	525	2796	0	143	0	5	618	61	107	10660	6180	хотеть	4480	VERB
230	13	3	114	2	25	0	0	481	4	5	5179	4532	конечно	647	ADV
231	12	6	41	0	3	0	0	39	2	5	523	415	наступать	108	VERB
232	0	0	9	0	0	0	0	0	0	0	13	4	достроить	9	VERB
233	8	8	155	0	0	0	0	0	0	0	6279	6108	сила	171	NOUN
234	1	0	2	0	0	0	0	0	0	0	572	569	глубокий	3	ADJ
235	227	99	2339	0	42	0	1	371	47	167	12600	9307	надо	3293	ADV
236	10	9	73	0	13	0	2	83	2	12	1363	1159	открывать	204	VERB
237	0	0	5	0	4	0	0	3	0	1	86	73	пешком	13	ADV
238	0	0	41	0	1	0	0	29	1	7	270	191	преодолевать	79	VERB
239	13	16	37	0	6	0	0	76	12	9	769	600	ехать	169	VERB
240	1	1	19	0	0	0	1	27	0	4	226	173	выезжать	53	VERB
241	0	1	5	0	42	0	0	60	14	2	1180	1056	наконец	124	ADV
242	4	4	149	0	5	0	0	15	0	6	312	129	жалеть	183	VERB
243	0	10	1	0	0	0	0	0	0	0	323	312	словно	11	SCONJ
244	30	510	371	0	4	0	0	69	4	20	1757	749	хотеться	1008	VERB
245	70	88	655	0	69	0	5	804	39	192	8695	6773	работать	1922	VERB
246	2	1	0	0	0	0	0	0	0	1	30	26	стучаться	4	VERB
247	1	1	1	0	0	0	0	6	0	3	51	39	отодвигать	12	VERB
248	0	0	98	0	3	0	0	0	2	7	162	52	слышно	110	ADV
249	0	0	1	0	0	0	0	0	0	0	441	440	ветер	1	NOUN
250	3	3	37	0	0	0	0	20	6	3	280	208	ощущать	72	VERB
251	1	9	255	7	133	0	0	761	49	13	21626	20398	уже	1228	ADV
252	2	2	1	0	0	0	0	3	0	0	16	8	гудеть	8	VERB
253	27	20	80	0	0	0	0	0	0	0	6657	6530	большой	127	ADJ
254	4	9	245	0	0	0	1	0	0	0	10409	10150	первый	259	ADJ
255	18	6	18	0	3	0	0	79	28	7	1049	890	оказаться	159	VERB
256	0	1	0	0	0	0	0	0	0	0	4	3	ощупь	1	NOUN
257	0	0	0	0	0	0	0	0	0	1	9	8	выбиться	1	VERB
258	0	0	0	0	0	0	0	3	0	0	8	5	освоиться	3	VERB
259	168	93	2134	0	62	0	1	957	36	156	9029	5422	понимать	3607	VERB
260	3	1	15	0	1	0	0	7	0	9	137	101	просыпаться	36	VERB
261	0	3	435	0	3	0	0	74	5	9	2842	2313	совсем	529	ADV
262	11	2	15	0	6	0	0	38	5	0	225	148	вспомянуть	77	VERB
263	124	158	683	0	52	0	3	377	10	116	5874	4351	приходить	1523	VERB
264	0	0	2	1	0	0	0	1	0	0	37	33	заполнить	4	VERB
265	7	0	513	3	38	0	3	581	18	182	8816	7471	потому	1345	ADV
266	22	8	701	0	16	0	4	82	12	23	2318	1450	собираться	868	VERB
267	11	12	37	0	12	0	0	72	2	18	1248	1084	стараться	164	VERB
268	0	1	2	0	0	0	0	8	0	0	44	33	сдвигать	11	VERB
269	139	54	924	8	65	0	5	528	49	146	7060	5142	думать	1918	VERB
270	5	244	68	0	0	0	1	0	0	0	11191	10873	какой	318	DET
271	2	132	1	0	0	0	0	0	0	0	5607	5472	лишь	135	PART
272	6	2	65	0	0	0	0	11	9	2	199	104	успеть	95	VERB
273	26	23	240	0	1	0	1	106	5	27	1908	1479	входить	429	VERB
274	1	4	63	0	1	0	0	25	0	6	439	339	привыкать	100	VERB
275	8	0	42	0	0	0	0	38	2	2	326	234	заметить	92	VERB
276	0	0	0	0	0	0	0	2	0	0	6	4	по-всякому	2	ADV
277	0	0	74	0	0	0	0	10	2	8	156	62	смущать	94	VERB
278	2	0	7	0	0	0	0	12	1	7	189	160	приближаться	29	VERB
279	0	0	0	0	0	0	0	0	1	0	2	1	добродушно	1	ADV
280	0	0	0	0	1	0	0	0	1	0	19	17	усмехаться	2	VERB
281	0	2	15	0	12	0	0	32	44	2	983	876	откуда	107	ADV
282	6	5	54	0	2	0	0	26	13	6	481	369	браться	112	VERB
283	0	0	3	0	0	0	0	0	0	0	4	1	расхолаживать	3	VERB
284	21	16	91	0	14	0	0	179	6	27	1682	1328	объяснять	354	VERB
285	65	66	832	0	22	0	1	101	46	95	3002	1774	стоить	1228	VERB
286	0	1	3	0	0	0	0	0	1	3	20	12	помещаться	8	VERB
287	12	28	247	0	2	0	0	54	0	8	629	278	сомневаться	351	VERB
288	33	46	711	0	35	0	3	235	13	56	2819	1687	ходить	1132	VERB
289	8	6	16	0	1	0	0	52	0	18	554	453	увеличивать	101	VERB
290	5	50	104	1	290	0	0	1162	87	46	21194	19449	еще	1745	ADV
291	0	0	1	0	0	0	0	0	0	0	1	0	приостановиться	1	VERB
292	0	0	1	0	0	0	0	0	0	0	1	0	припустить	1	VERB
293	3	6	220	1	3	0	1	25	0	4	343	80	трогать	263	VERB
294	10	7	100	0	6	0	0	57	10	13	801	598	чувствовать	203	VERB
295	0	0	1	0	0	0	0	0	0	0	76	75	плоть	1	NOUN
296	0	4	8	0	0	0	0	0	0	0	464	452	радость	12	NOUN
297	309	279	2282	7	193	0	11	2629	182	386	20826	14548	делать	6278	VERB
298	0	0	0	0	0	0	0	0	0	1	7	6	проклясть	1	VERB
299	2	1	376	0	40	0	0	268	9	9	5418	4713	всегда	705	ADV
300	0	0	6	0	0	0	0	2	0	2	39	29	сознавать	10	VERB
301	19	28	516	0	0	0	1	0	0	0	29788	29224	такой	564	DET
302	0	0	5	0	0	0	0	1	0	2	12	4	доделать	8	VERB
303	0	0	2	0	0	0	0	2	0	0	30	26	ощутить	4	VERB
304	5	0	38	0	2	0	0	23	10	0	219	141	забыть	78	VERB
305	7	7	260	0	0	0	0	0	0	0	14580	14306	самый	274	ADJ
306	11	13	64	0	4	0	0	54	0	9	758	603	ездить	155	VERB
307	8	2	28	0	0	0	0	0	0	0	2797	2759	смысл	38	NOUN
308	30	3	394	0	13	0	1	106	26	35	2021	1413	помнить	608	VERB
309	2	18	120	0	3	0	0	101	6	2	599	347	спорить	252	VERB
310	1	0	1	0	1	0	0	3	0	0	32	26	съездить	6	VERB
311	4	4	21	0	2	0	0	49	0	4	342	258	садиться	84	VERB
312	17	2	367	0	3	0	0	32	10	44	1276	801	бывать	475	VERB
313	0	0	3	0	0	0	0	0	0	0	7	4	по-мужски	3	ADV
314	36	49	954	0	13	0	4	99	2	70	2455	1228	хватать	1227	VERB
315	72	54	554	0	38	0	3	538	10	95	5500	4136	решать	1364	VERB
316	5	4	171	8	76	0	0	435	48	22	6918	6149	тут	769	ADV
317	1	1	9	0	0	0	0	10	0	0	57	36	обобщать	21	VERB
318	0	15	14	0	1	0	0	17	0	5	156	104	добираться	52	VERB
319	6	8	22	1	4	0	0	20	6	3	272	202	отдать	70	VERB
320	6	6	6	0	0	0	0	33	8	5	263	199	возникнуть	64	VERB
321	7	8	13	0	0	0	0	47	15	3	4156	4063	что-то	93	PRON
322	45	51	265	0	24	0	1	444	22	64	5263	4347	называть	916	VERB
323	3	0	2	0	0	0	0	21	0	0	76	50	сровнять	26	VERB
324	0	0	1	0	0	0	0	0	0	0	4	3	слепок	1	NOUN
325	4	3	58	0	2	0	0	71	10	12	766	606	стремиться	160	VERB
326	2	5	95	0	0	0	3	0	0	0	40937	40832	свой	105	DET
327	26	16	147	0	31	0	0	161	0	50	2030	1599	вспоминать	431	VERB
328	0	1	3	0	0	0	0	0	0	0	564	560	разрешение	4	NOUN
329	5	3	15	2	0	0	0	19	2	0	97	51	остановить	46	VERB
330	4	1	1	0	0	0	0	6	4	3	104	85	собраться	19	VERB
331	2	2	2	0	0	0	0	2	0	0	49	41	отпадать	8	VERB
332	0	0	8	0	0	0	0	19	2	1	139	109	проверить	30	VERB
333	2	0	13	0	0	0	0	34	8	3	289	229	уйти	60	VERB
334	3	0	14	0	0	0	0	0	0	0	1266	1249	жена	17	NOUN
335	2	0	1	0	0	0	0	4	0	0	55	48	подобрать	7	VERB
336	10	8	375	3	168	0	0	1583	203	69	28217	25798	она	2419	PRON
337	1	4	8	0	2	0	0	11	4	1	243	212	рисовать	31	VERB
338	279	46	556	3	72	0	8	384	30	252	17887	16257	нет	1630	VERB
339	2	4	138	0	39	0	0	644	7	18	7013	6161	никто	852	PRON
340	0	1	0	0	0	0	0	0	0	0	11	10	неуверенный	1	ADJ
341	3	3	16	0	0	0	1	0	0	0	1108	1085	чистый	23	ADJ
342	0	0	7	0	0	0	0	6	2	0	68	53	скрыть	15	VERB
343	0	3	52	0	1	0	0	42	0	31	255	126	догадываться	129	VERB
344	56	54	1114	7	407	0	2	3529	265	168	45226	39624	мы	5602	PRON
345	0	0	0	0	0	0	0	1	0	0	2	1	допытываться	1	VERB
346	1	0	5	0	14	0	0	37	4	1	644	582	отсюда	62	ADV
347	28	27	311	2	58	0	5	195	8	71	3206	2501	читать	705	VERB
348	0	1	24	0	2	0	0	36	8	4	365	290	вызвать	75	VERB
349	2	1	1	0	0	0	0	0	0	0	149	145	циничный	4	ADJ
350	1	1	3	0	3	0	0	11	0	1	186	166	разоблачать	20	VERB
351	0	0	0	0	0	0	0	1	0	0	13	12	растворить	1	VERB
352	20	1	135	0	0	0	1	0	0	0	1344	1187	виноватый	157	ADJ
353	8	22	16	0	0	0	0	15	18	0	479	400	прийтись	79	VERB
354	3	1	82	0	0	0	0	14	0	2	292	190	подозревать	102	VERB
355	14	17	308	3	424	0	1	987	150	57	15421	13460	ты	1961	PRON
356	16	12	533	0	8	0	1	129	7	39	1491	746	замечать	745	VERB
357	4	1	24	0	2	0	0	31	5	6	393	320	бегать	73	VERB
358	0	0	1	0	1	0	0	6	1	2	145	134	немножко	11	ADV
359	0	0	0	0	0	0	0	1	1	0	29	27	боком	2	ADV
360	9	13	433	0	0	0	5	0	0	0	46235	45775	весь	460	DET
361	0	0	1	0	0	0	0	0	0	0	328	327	потребность	1	NOUN
362	122	117	1940	8	608	0	0	2503	255	164	39251	33534	так	5717	ADV
363	0	1	10	0	0	0	0	9	0	6	99	73	раздражать	26	VERB
364	3	17	86	0	3	0	0	82	5	7	2022	1819	иначе	203	ADV
365	3	3	61	0	40	0	0	120	3	0	3457	3227	никогда	230	ADV
366	1009	50	899	0	0	0	2	0	0	0	0	-1960		1960	
367	9	67	173	0	53	0	0	537	357	26	6359	5137	почему	1222	ADV
368	2	0	4	0	0	0	0	0	0	0	17	11	заводиться	6	VERB
369	6	0	32	0	27	0	0	104	93	9	1969	1698	зачем	271	ADV
370	0	0	5	0	12	0	0	68	3	0	595	507	спокойно	88	ADV
